采集日期,平台名称,成交额(万),综合利率,投资人(人),借款周期(月),借款人(人),满标速度(分钟),累计贷款金额(万),净资金流入(万)
2017-09-30,微贷网,40659.13,8.33%,11427,7.21,16009,0.43,1747583.65,11573.31
2017-09-30,团贷网,33012.73,9.99%,31382,9.21,2836,0.37,1160524.51,15224.49
2017-09-30,红岭创投,32469.07,8.8%,13681,2.35,2428,13.96,2066583.82,-37958.64
2017-09-30,宜贷网,22142.54,12.13%,8544,1.80,1908,6.14,571374.51,1905.73
2017-09-30,爱钱进,21474.69,10.3%,15179,30.95,5833,2.22,3254409.89,20521.7
2017-09-30,小牛在线,17902.94,9.38%,14469,4.37,755,65.32,1144372.48,10569.42
2017-09-30,宜人贷,13552.99,11.44%,82289,28.22,2485,1.32,0,0
2017-09-30,你我贷,12675.36,10.39%,43710,11.17,46595,3.61,1683998.44,4407.29
2017-09-30,向上金服,11252.25,10.03%,0,2.43,44,0,3310145.08,11264.14
2017-09-30,翼龙贷,9753.83,9.74%,2744,11.80,2345,13.69,2188119.43,2616.64
2017-09-30,泰然金融,9703.96,9.06%,2192,5.91,2935,3.30,52100.53,4977.11
2017-09-30,PPmoney理财,9146.03,8.29%,45983,4.58,29301,0.03,1219789.62,3527.59
2017-09-30,共信赢,8226.42,12.73%,293,7.80,1,221.21,526521.05,0
2017-09-30,温商贷,7980.56,10.85%,3761,5.45,110,245.21,613159.93,2552.33
2017-09-30,恒易融,7693.31,12.47%,1309,31.64,886,0.32,1607938.13,5602.63
2017-09-30,有利网,7653.63,9.14%,26080,22.61,8877,0.04,1655439.87,5031.29
2017-09-30,爱投资,7459.69,11.27%,5041,12.53,281,92.97,1166334.29,5062.09
2017-09-30,博金贷,7373.79,6.92%,685,2.93,132,121.31,949924.42,5174.74
2017-09-30,冠e通,7317,10.02%,2830,10.26,54,61.58,618584.48,4753.09
2017-09-30,积木盒子,6569.87,8.91%,17429,12.36,27250,18.03,602763.05,-33.32
2017-09-30,鹏金所,6269.99,6.61%,441,8.12,122,16.88,824364.28,0
2017-09-30,钜宝盆,5052.5,8%,2704,35.78,526,1.09,672299.05,4722.94
2017-09-30,钱多多,4788.84,11.13%,1214,6.39,23,114.78,255480.67,2491.76
2017-09-30,财富中国,4628.7,9.73%,1529,13.44,268,148.83,1180429.7,3042.97
2017-09-30,汇盈金服,4397.79,9.83%,1000,3.74,86,45.24,313360.59,1807.96
